"","Jahr","TagezumStichtag"
"66996",2017,25
"67006",2017,12
"67016",2016,172
"67053",2016,28
"67080",2015,16
"67084",2015,1
"67121",2017,17
"67132",2017,41
"67149",2016,19
"67151",2016,223
"67274",2014,145
"67314",2016,3
"67330",2016,21
"67339",2016,42
"67370",2016,20
"67371",2016,99
"67418",2017,15
"67450",2016,31
"67481",2016,84
"67494",2017,31
"67503",2017,23
"67504",2017,186
"67527",2017,22
"67631",2015,54
"67636",2015,149
"67656",2015,41
"67690",2017,31
"67705",2017,27
"67707",2017,28
"67711",2017,93
"67729",2016,28
"67743",2016,70
"67745",2016,19
"67847",2014,5
"67885",2015,4
"67913",2017,31
"67934",2017,31
"67941",2017,26
"67946",2017,35
"67975",2016,34
"67990",2016,3
"67999",2016,4
"68012",2016,79
"68020",2016,9
"68021",2016,50
"68065",2014,114
"68165",2017,6
"68175",2017,45
"68223",2016,27
"68225",2016,95
"68235",2016,217
"68240",2016,55
"68305",2017,168
"68313",2017,20
"68320",2017,27
"68341",2017,30
"68366",2016,97
"68501",2015,23
"68530",2015,48
"68535",2015,46
"68550",2017,23
"68563",2017,7
"68677",2014,14
"68735",2015,125
"68784",2017,16
"68809",2017,42
"68873",2014,32
"68903",2016,55
"68923",2016,84
"68946",2015,9
"69027",2017,60
"69045",2014,111
"69077",2014,51
"69094",2016,43
"69146",2016,6
"69154",2016,55
"69193",2015,18
"69210",2015,3
"69228",2014,50
"69237",2014,11
"69243",2014,35
"69279",2017,24
"69286",2017,33
"69288",2017,107
"69333",2015,27
"69407",2016,61
"69466",2014,35
"69471",2017,70
"69477",2017,54
"69510",2017,23
"69527",2017,4
"69532",2016,143
"69658",2014,47
"69730",2016,8
"69745",2016,64
"69775",2016,85
"69802",2016,40
"69843",2014,97
"69861",2017,16
"69869",2017,25
"69891",2017,257
"69906",2016,320
"70020",2017,16
"70030",2017,60
"70042",2017,96
"70125",2016,35
"70142",2016,64
"70291",2016,112
"70414",2017,167
"70422",2017,87
"70536",2015,57
"70573",2016,2
"70591",2016,31
"70625",2017,44
"70634",2017,13
"70650",2017,33
"70653",2017,8
"70678",2016,229
"70737",2015,40
"70738",2015,40
"70742",2015,187
"70780",2016,115
"70790",2016,90
"70830",2015,20
"70911",2017,56
"70935",2017,122
"71002",2015,72
"71054",2014,14
"71101",2017,8
"71122",2017,84
"71218",2016,55
"71226",2016,322
"71244",2016,26
"71259",2016,142
"71268",2016,21
"71269",2016,21
"71329",2017,8
"71384",2015,29
"71407",2016,57
"71446",2014,157
"71469",2014,1
"71487",2016,3
"71491",2016,16
"71600",2017,205
"71680",2016,7
"71696",2016,8
"71712",2016,3
"71784",2017,17
"71799",2017,32
"71806",2017,7
"71815",2017,31
"71877",2016,13
"71881",2016,31
"71890",2016,14
"71953",2016,25
"72050",2017,100
"72111",2016,16
"72174",2016,90
"72235",2017,35
"72241",2017,1
"72257",2017,127
"72271",2016,22
"72275",2016,20
"72284",2016,70
"72287",2016,31
"72294",2016,64
"72297",2016,34
"72305",2016,56
"72333",2016,48
"72383",2017,54
"72393",2017,46
"72435",2016,21
"72571",2016,19
"72622",2016,16
"72623",2016,16
"72692",2017,38
"72716",2016,12
"72717",2016,12
"72740",2016,46
"72818",2016,28
"72849",2017,58
"72852",2017,22
"72876",2017,41
"72892",2016,3
"72921",2016,29
"72922",2016,105
"72954",2016,157
"72958",2016,29
"73043",2016,23
"73044",2016,350
"73062",2016,100
"73105",2016,54
"73172",2016,44
"73187",2016,27
"73207",2017,54
"73234",2016,44
"73275",2016,42
"73316",2017,59
"73335",2017,73
"73349",2017,16
"73352",2017,171
"73462",2017,2
"73515",2017,17
"73540",2017,90
"73548",2017,16
"73591",2016,20
"73609",2017,110
"73620",2017,11
"73671",2017,85
"73695",2017,19
"73696",2017,3
"73699",2016,2
"73716",2016,146
"73754",2017,42
"73781",2017,88
"73798",2017,1
"73817",2017,263
"73818",2017,3
"73822",2017,5
"73826",2017,11
"73829",2017,15
